Fetched Time,Keyword,Title,Link
2025-05-10 01:22:57,low-carbon concrete,Can Cement Go Green? Inside the Global Push for Low-Carbon Alternatives,https://www.azobuild.com/article.aspx?ArticleID=8735
2025-05-10 01:22:57,low-carbon concrete,World’s first Low Carbon Ratings system for Cement and Concrete launches,https://www.youtube.com/watch?v=bam0r2EOjWw
2025-05-10 01:22:57,low-carbon concrete,"Thomas Beton delivers 3,540 m³ of low-carbon concrete for logistics facility in Hamburg",https://www.mynewsdesk.com/se/thomas-concrete-group/news/thomas-beton-delivers-3540-m3-of-low-carbon-concrete-for-logistics-facility-in-hamburg-497055
2025-05-10 01:22:57,low-carbon concrete,SCG targets low-carbon cement with B1bn funding,https://www.bangkokpost.com/business/general/3020220/scg-targets-low-carbon-cement-with-b1bn-funding
2025-05-10 01:22:57,low-carbon concrete,Holcim North America recognised by Slag Cement Association,https://www.worldcement.com/the-americas/06052025/holcim-north-america-recognised-by-slag-cement-association/
2025-05-10 01:22:57,low-carbon concrete,Vertua low-carbon concrete plays a big role in Houston Methodist expansion,https://canada.constructconnect.com/joc/news/usa/2025/04/vertua-low-carbon-concrete-plays-a-big-role-in-houston-methodist-expansion
2025-05-10 01:22:57,low-carbon concrete,Specialists highlight new innovations during carbon concrete symposium,https://canada.constructconnect.com/joc/news/resource/2025/04/specialists-highlight-new-innovations-during-carbon-concrete-symposium
2025-05-10 01:22:57,low-carbon concrete,"Eco Material Opening Queens Terminal to Bring 50,000 Tons of Low Carbon Cement Replacement Products Into New York City Metro Annually",https://finance.yahoo.com/news/eco-material-opening-queens-terminal-150000730.html
2025-05-10 01:22:57,low-carbon concrete,"‘Climate action is part of competitiveness,’ advises Cement Association of Canada expert",https://canada.constructconnect.com/dcn/news/associations/2025/04/climate-action-is-part-of-competitiveness-advises-cement-association-of-canada-expert
2025-05-10 01:22:57,low-carbon concrete,Family-run recycling firm unveils £1m low carbon concrete plant which will contribute to a “greener future”,https://www.insidermedia.com/news/insider/family-run-recycling-firm-unveils-1m-low-carbon-concrete-plant-which-will-contribute-to-a-greener-future
2025-05-10 01:22:57,low-carbon concrete,Greener and Cleaner: Low Carbon Concrete,https://www.unsw.edu.au/news/2025/04/Greener-and-Cleaner-Low-Carbon-Concrete
2025-05-10 01:22:57,low-carbon concrete,Scott Bros unveils £1m low carbon concrete plant on Teesside,https://www.businessupnorth.co.uk/scott-bros-unveils-1m-low-carbon-concrete-plant-on-teesside/
2025-05-10 01:22:57,low-carbon concrete,"First Low-Carbon Ratings for Cement, Concrete Debut",https://www.miragenews.com/first-low-carbon-ratings-for-cement-concrete-1450411/
2025-05-10 01:22:57,low-carbon concrete,Clean the Sky - Low-Carbon Construction Technologies,http://www.trendhunter.com/innovation/lowcarbon-construction
2025-05-10 01:22:57,low-carbon concrete,‘Green metals premium’ and low-carbon cement ratings system to support industrial decarbonisation,https://www.edie.net/green-metals-premium-and-low-carbon-cement-ratings-system-to-support-industrial-decarbonisation/
2025-05-10 01:22:57,low-carbon concrete,GCCA introduces global Low Carbon Ratings system for cement and concrete,https://www.worldconstructionnetwork.com/news/gcca-low-carbon-ratings-system/
